[Sun Oct 16 21:04:13.220018 2016] [:error] [pid 3590] [client 127.0.0.1:37754] PHP Warning:  The use statement with non-compound name 'AdminFormElement' has no effect in /home/evgeniy/Hosts/altamedica.local/app/Admin/bootstrap.php on line 2, referer: http://altamedica.local/admin/addresses
[Wed Oct 19 23:41:43.880954 2016] [core:crit] [pid 28761] (13)Permission denied: [client 127.0.0.1:35414] AH00529: /home/evgeniy/Hosts/altamedica.local/public/mobile/css/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/evgeniy/Hosts/altamedica.local/public/mobile/css/' is executable, referer: http://m.altamedica.local/about-clinic
[Wed Oct 19 23:41:43.882546 2016] [core:crit] [pid 29063] (13)Permission denied: [client 127.0.0.1:35416] AH00529: /home/evgeniy/Hosts/altamedica.local/public/mobile/img/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/home/evgeniy/Hosts/altamedica.local/public/mobile/img/' is executable, referer: http://m.altamedica.local/about-clinic
[Wed Oct 26 21:46:09.467731 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP Fatal error:  Cannot redeclare App\\Http\\Admin\\Models\\Menus::isDeletable() in /home/evgeniy/Hosts/altamedica.local/app/Http/Admin/Models/Menus.php on line 119, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477474 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP Stack trace:, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477514 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   1. {main}() /home/evgeniy/Hosts/altamedica.local/public/index.php:0, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477528 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/evgeniy/Hosts/altamedica.local/public/index.php:53, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477540 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477551 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   4. Illuminate\\Foundation\\Http\\Kernel->bootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:144, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477826 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   5. Illuminate\\Foundation\\Application->bootstrapWith() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:253, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477846 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   6. Illuminate\\Foundation\\Bootstrap\\BootProviders->bootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:203, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477874 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   7. Illuminate\\Foundation\\Application->boot() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/BootProviders.php:17, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477884 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   8. array_walk() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:753, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477895 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP   9. Illuminate\\Foundation\\Application->Illuminate\\Foundation\\{closure}() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:753, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477905 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  10. Illuminate\\Foundation\\Application->bootProvider() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:752, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477915 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  11. Illuminate\\Container\\Container->call() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:769, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477924 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  12. call_user_func_array:{/home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508}() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477934 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  13. App\\Providers\\AdminSectionsServiceProvider->boot() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477944 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  14. SleepingOwl\\Admin\\Providers\\AdminSectionsServiceProvider->boot() /home/evgeniy/Hosts/altamedica.local/app/Providers/AdminSectionsServiceProvider.php:40, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477952 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  15. class_exists() /home/evgeniy/Hosts/altamedica.local/vendor/laravelrus/sleepingowl/src/Providers/AdminSectionsServiceProvider.php:30, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477961 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  16. spl_autoload_call() /home/evgeniy/Hosts/altamedica.local/vendor/laravelrus/sleepingowl/src/Providers/AdminSectionsServiceProvider.php:30, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477971 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  17. Composer\\Autoload\\ClassLoader->loadClass() /home/evgeniy/Hosts/altamedica.local/vendor/laravelrus/sleepingowl/src/Providers/AdminSectionsServiceProvider.php:30, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:46:09.477980 2016] [:error] [pid 17583] [client 127.0.0.1:50802] PHP  18. Composer\\Autoload\\includeFile() /home/evgeniy/Hosts/altamedica.local/vendor/composer/ClassLoader.php:301, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202568 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP Fatal error:  Declaration of App\\Http\\Admin\\Models\\Menus::isCreatable(Illuminate\\Database\\Eloquent\\Model $model) must be compatible with SleepingOwl\\Admin\\Contracts\\ModelConfigurationInterface::isCreatable() in /home/evgeniy/Hosts/altamedica.local/app/Http/Admin/Models/Menus.php on line 14, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202619 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP Stack trace:, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202646 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   1. {main}() /home/evgeniy/Hosts/altamedica.local/public/index.php:0, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202658 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/evgeniy/Hosts/altamedica.local/public/index.php:53, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202669 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202680 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   4. Illuminate\\Foundation\\Http\\Kernel->bootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:144, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202690 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   5. Illuminate\\Foundation\\Application->bootstrapWith() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:253, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202700 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   6. Illuminate\\Foundation\\Bootstrap\\BootProviders->bootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:203, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202710 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   7. Illuminate\\Foundation\\Application->boot() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/BootProviders.php:17, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202719 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   8. array_walk() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:753, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202729 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP   9. Illuminate\\Foundation\\Application->Illuminate\\Foundation\\{closure}() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:753, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202739 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  10. Illuminate\\Foundation\\Application->bootProvider() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:752, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202748 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  11. Illuminate\\Container\\Container->call() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:769, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202758 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  12. call_user_func_array:{/home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508}() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202768 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  13. App\\Providers\\AdminSectionsServiceProvider->boot() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202777 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  14. SleepingOwl\\Admin\\Providers\\AdminSectionsServiceProvider->boot() /home/evgeniy/Hosts/altamedica.local/app/Providers/AdminSectionsServiceProvider.php:40, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202792 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  15. class_exists() /home/evgeniy/Hosts/altamedica.local/vendor/laravelrus/sleepingowl/src/Providers/AdminSectionsServiceProvider.php:30, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202801 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  16. spl_autoload_call() /home/evgeniy/Hosts/altamedica.local/vendor/laravelrus/sleepingowl/src/Providers/AdminSectionsServiceProvider.php:30, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202810 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  17. Composer\\Autoload\\ClassLoader->loadClass() /home/evgeniy/Hosts/altamedica.local/vendor/laravelrus/sleepingowl/src/Providers/AdminSectionsServiceProvider.php:30, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202819 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  18. Composer\\Autoload\\includeFile() /home/evgeniy/Hosts/altamedica.local/vendor/composer/ClassLoader.php:301, referer: http://altamedica.local/admin/menus/10/edit
[Wed Oct 26 21:47:37.202827 2016] [:error] [pid 3396] [client 127.0.0.1:50824] PHP  19. include() /home/evgeniy/Hosts/altamedica.local/vendor/composer/ClassLoader.php:412, referer: http://altamedica.local/admin/menus/10/edit
[Fri Oct 28 19:33:00.461391 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP Warning:  The use statement with non-compound name 'FormItem' has no effect in /home/evgeniy/Hosts/altamedica.local/app/Admin/bootstrap.php on line 4, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.473868 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP Stack trace:, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.473912 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   1. {main}() /home/evgeniy/Hosts/altamedica.local/public/index.php:0, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.473926 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/evgeniy/Hosts/altamedica.local/public/index.php:53, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.473937 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.473948 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   4. Illuminate\\Foundation\\Http\\Kernel->bootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:144, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.473957 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   5. Illuminate\\Foundation\\Application->bootstrapWith() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:253, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.473967 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   6. Illuminate\\Foundation\\Bootstrap\\BootProviders->bootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:203, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.474183 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   7. Illuminate\\Foundation\\Application->boot() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/BootProviders.php:17, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.474201 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   8. array_walk() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:753, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.474212 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP   9. Illuminate\\Foundation\\Application->Illuminate\\Foundation\\{closure}() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:753, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.474239 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP  10. Illuminate\\Foundation\\Application->bootProvider() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:752, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.474249 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP  11. Illuminate\\Container\\Container->call() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:769, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.474259 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP  12. call_user_func_array:{/home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508}() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.474269 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP  13. SleepingOwl\\Admin\\Providers\\AdminServiceProvider->boot() /home/evgeniy/Hosts/altamedica.local/vendor/laravel/framework/src/Illuminate/Container/Container.php:508, referer: http://altamedica.local/admin/login
[Fri Oct 28 19:33:00.474278 2016] [:error] [pid 5709] [client 127.0.0.1:42230] PHP  14. SleepingOwl\\Admin\\Providers\\AdminServiceProvider->registerBootstrap() /home/evgeniy/Hosts/altamedica.local/vendor/laravelrus/sleepingowl/src/Providers/AdminServiceProvider.php:76, referer: http://altamedica.local/admin/login
